ProductCLass	Product	Description	ProductCurrency	NegotiationLot	PriceLot	ISIN	Dt_Issue	Dt_Expiry	Index Rate	PctRate	Dt_CashMaturity	Liquidity	Rating	Dt_Com	Dt_CashFlow	Cash Flow Currency	Fixed Coupon	Coupon Time Basis	Coupon Rate Basis	Coupon Rate Frequency	Dt_StartCoupon	Dt_EndCoupon	Float Index	Is Fixing Period	Dt_Fixing	Dt_StartFloat	Dt_EndFloat	Principal Indexed Index	Dt_StartIndex	Dt_EndIndex	Principal Amortization Pct	Forward	PU Effective Payment	LinkedProduct	Base Price	Price Fixing Date	Float Fixing Date	Float Start	Float End Date	Float Spread	Float Rate Basis	Float Time Basis	Dt_StartAccrual	Dt_FirstPayment	Annual Payment Frequency
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	07/01/2030	07/05/2030	USD	5.875	30/360 ISMA	Linear	1	04/05/2030	07/05/2030									1.0932619														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2030	04/05/2030	USD	5.875	30/360 ISMA	Linear	1	01/05/2030	04/05/2030									1.077437														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2030	01/07/2030	USD	5.875	30/360 ISMA	Linear	1	10/05/2029	01/05/2030									1.0618412														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2029	10/05/2029	USD	5.875	30/360 ISMA	Linear	1	07/05/2029	10/05/2029									1.0464711														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2029	07/05/2029	USD	5.875	30/360 ISMA	Linear	1	04/05/2029	07/05/2029									1.0313236														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2029	04/05/2029	USD	5.875	30/360 ISMA	Linear	1	01/05/2029	04/05/2029									1.0163953														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2029	01/05/2029	USD	5.875	30/360 ISMA	Linear	1	10/05/2028	01/05/2029									1.0016831														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2028	10/05/2028	USD	5.875	30/360 ISMA	Linear	1	07/05/2028	10/05/2028									0.9871838														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2028	07/05/2028	USD	5.875	30/360 ISMA	Linear	1	04/05/2028	07/05/2028									0.9728944														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2028	04/05/2028	USD	5.875	30/360 ISMA	Linear	1	01/05/2028	04/05/2028									0.9588119														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/31/2027	01/05/2028	USD	5.875	30/360 ISMA	Linear	1	10/05/2027	01/05/2028									0.9449332														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2027	10/05/2027	USD	5.875	30/360 ISMA	Linear	1	07/05/2027	10/05/2027									0.9312553														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/30/2027	07/06/2027	USD	5.875	30/360 ISMA	Linear	1	04/05/2027	07/05/2027									0.9177755														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2027	04/05/2027	USD	5.875	30/360 ISMA	Linear	1	01/05/2027	04/05/2027									0.9044909														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/30/2026	01/05/2027	USD	5.875	30/360 ISMA	Linear	1	10/05/2026	01/05/2027									0.8913984														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2026	10/05/2026	USD	5.875	30/360 ISMA	Linear	1	07/05/2026	10/05/2026									0.8784955														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/30/2026	07/06/2026	USD	5.875	30/360 ISMA	Linear	1	04/05/2026	07/05/2026									0.8657793														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2026	04/06/2026	USD	5.875	30/360 ISMA	Linear	1	01/05/2026	04/05/2026									0.8532473														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/30/2025	01/05/2026	USD	5.875	30/360 ISMA	Linear	1	10/05/2025	01/05/2026									0.8408967														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/01/2025	10/06/2025	USD	5.875	30/360 ISMA	Linear	1	07/05/2025	10/05/2025									0.8287247														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	07/01/2025	07/07/2025	USD	5.875	30/360 ISMA	Linear	1	04/05/2025	07/05/2025									0.816729														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2025	04/07/2025	USD	5.875	30/360 ISMA	Linear	1	01/05/2025	04/05/2025									0.804907														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/31/2024	01/06/2025	USD	5.875	30/360 ISMA	Linear	1	10/05/2024	01/05/2025									0.793256														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2024	10/07/2024	USD	5.875	30/360 ISMA	Linear	1	07/05/2024	10/05/2024									0.7817737														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	07/01/2024	07/05/2024	USD	5.875	30/360 ISMA	Linear	1	04/05/2024	07/05/2024									0.7704576														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2024	04/05/2024	USD	5.875	30/360 ISMA	Linear	1	01/05/2024	04/05/2024									0.7593053														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2024	01/05/2024	USD	5.875	30/360 ISMA	Linear	1	10/05/2023	01/05/2024									0.7483145														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2023	10/05/2023	USD	5.875	30/360 ISMA	Linear	1	07/05/2023	10/05/2023									0.7374826														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2023	07/05/2023	USD	5.875	30/360 ISMA	Linear	1	04/05/2023	07/05/2023									0.7268077														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2023	04/05/2023	USD	5.875	30/360 ISMA	Linear	1	01/05/2023	04/05/2023									0.7162872														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2023	01/05/2023	USD	5.875	30/360 ISMA	Linear	1	10/05/2022	01/05/2023									0.705919														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2022	10/05/2022	USD	5.875	30/360 ISMA	Linear	1	07/05/2022	10/05/2022									0.695701														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2022	07/05/2022	USD	5.875	30/360 ISMA	Linear	1	04/05/2022	07/05/2022									0.6856307														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2022	04/05/2022	USD	5.875	30/360 ISMA	Linear	1	01/05/2022	04/05/2022									0.6757063														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/31/2021	01/05/2022	USD	5.875	30/360 ISMA	Linear	1	10/05/2021	01/05/2022									0.6659255														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2021	10/05/2021	USD	5.875	30/360 ISMA	Linear	1	07/05/2021	10/05/2021									0.6562862														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/30/2021	07/06/2021	USD	5.875	30/360 ISMA	Linear	1	04/05/2021	07/05/2021									0.6467867														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/30/2021	04/05/2021	USD	5.875	30/360 ISMA	Linear	1	01/05/2021	04/05/2021									0.6374244														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/30/2020	01/05/2021	USD	5.875	30/360 ISMA	Linear	1	10/05/2020	01/05/2021									0.6281978														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2020	10/05/2020	USD	5.875	30/360 ISMA	Linear	1	07/05/2020	10/05/2020									0.6191047														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/30/2020	07/06/2020	USD	5.875	30/360 ISMA	Linear	1	04/05/2020	07/05/2020									0.6101432														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/01/2020	04/06/2020	USD	5.875	30/360 ISMA	Linear	1	01/05/2020	04/05/2020									0.6013115														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/31/2019	01/06/2020	USD	5.875	30/360 ISMA	Linear	1	10/05/2019	01/05/2020									0.5926075														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2019	10/07/2019	USD	5.875	30/360 ISMA	Linear	1	10/01/2019	10/05/2019									0.5840296														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/01/2019	10/04/2019	USD	5.875	30/360 ISMA	Linear	1	07/05/2019	10/01/2019									44.3906844														
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	07/01/2019	07/05/2019	USD	5.875	30/360 ISMA	Linear	1	04/05/2019	07/05/2019																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2019	04/05/2019	USD	5.875	30/360 ISMA	Linear	1	01/05/2019	04/05/2019																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2019	01/07/2019	USD	5.875	30/360 ISMA	Linear	1	10/05/2018	01/05/2019																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2018	10/05/2018	USD	5.875	30/360 ISMA	Linear	1	07/05/2018	10/05/2018																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2018	07/05/2018	USD	5.875	30/360 ISMA	Linear	1	04/05/2018	07/05/2018																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	04/02/2018	04/05/2018	USD	5.875	30/360 ISMA	Linear	1	01/05/2018	04/05/2018																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2018	01/05/2018	USD	5.875	30/360 ISMA	Linear	1	10/05/2017	01/05/2018																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	10/02/2017	10/05/2017	USD	5.875	30/360 ISMA	Linear	1	07/05/2017	10/05/2017																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2017	07/05/2017	USD	5.875	30/360 ISMA	Linear	1	04/05/2017	07/05/2017																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2017	04/05/2017	USD	5.875	30/360 ISMA	Linear	1	01/05/2017	04/05/2017																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	01/02/2017	01/05/2017	USD	5.875	30/360 ISMA	Linear	1	10/05/2016	01/05/2017																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2016	10/05/2016	USD	5.875	30/360 ISMA	Linear	1	07/05/2016	10/05/2016																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/29/2016	07/05/2016	USD	5.875	30/360 ISMA	Linear	1	04/05/2016	07/05/2016																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	03/31/2016	04/05/2016	USD	5.875	30/360 ISMA	Linear	1	01/05/2016	04/05/2016																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	12/30/2015	01/05/2016	USD	5.875	30/360 ISMA	Linear	1	10/05/2015	01/05/2016																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	09/30/2015	10/05/2015	USD	5.875	30/360 ISMA	Linear	1	07/05/2015	10/05/2015																							
Global Bonds	LIMAMT 5.875% 07/05/34	LIMA METRO LINE 2 FINANCE LTD	USD	1	100	USG54897AA45		07/05/2034					BBB	06/30/2015	07/06/2015	USD	5.875	30/360 ISMA	Linear	1	06/17/2015	07/05/2015																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/06/2024	11/12/2024	USD	5	30/360 ISMA	Linear	1	05/12/2024	11/12/2024									100														
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/08/2024	05/13/2024	USD	5	30/360 ISMA	Linear	1	11/12/2023	05/12/2024																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/07/2023	11/13/2023	USD	5	30/360 ISMA	Linear	1	05/12/2023	11/12/2023																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/09/2023	05/12/2023	USD	5	30/360 ISMA	Linear	1	11/12/2022	05/12/2023																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/08/2022	11/14/2022	USD	5	30/360 ISMA	Linear	1	05/12/2022	11/12/2022																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/09/2022	05/12/2022	USD	5	30/360 ISMA	Linear	1	11/12/2021	05/12/2022																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/08/2021	11/12/2021	USD	5	30/360 ISMA	Linear	1	05/12/2021	11/12/2021																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/07/2021	05/12/2021	USD	5	30/360 ISMA	Linear	1	11/12/2020	05/12/2021																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/06/2020	11/12/2020	USD	5	30/360 ISMA	Linear	1	05/12/2020	11/12/2020																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/07/2020	05/12/2020	USD	5	30/360 ISMA	Linear	1	11/12/2019	05/12/2020																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/06/2019	11/12/2019	USD	5	30/360 ISMA	Linear	1	05/12/2019	11/12/2019																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/08/2019	05/13/2019	USD	5	30/360 ISMA	Linear	1	11/12/2018	05/12/2019																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/07/2018	11/13/2018	USD	5	30/360 ISMA	Linear	1	05/12/2018	11/12/2018																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/08/2018	05/14/2018	USD	5	30/360 ISMA	Linear	1	11/12/2017	05/12/2018																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/06/2017	11/13/2017	USD	5	30/360 ISMA	Linear	1	05/12/2017	11/12/2017																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/08/2017	05/12/2017	USD	5	30/360 ISMA	Linear	1	11/12/2016	05/12/2017																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/07/2016	11/14/2016	USD	5	30/360 ISMA	Linear	1	05/12/2016	11/12/2016																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/06/2016	05/12/2016	USD	5	30/360 ISMA	Linear	1	11/12/2015	05/12/2016																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	11/05/2015	11/12/2015	USD	5	30/360 ISMA	Linear	1	05/12/2015	11/12/2015																							
Global Bonds	ISRELE 5.00% 11/12/24	ISRAEL ELECTRIC CORP LTD	USD	1	100	IL0060001943		11/12/2024					BBB	05/06/2015	05/12/2015	USD	5	30/360 ISMA	Linear	1	11/12/2014	05/12/2015																							
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/20/2033	04/25/2033	USD	6.75	30/360 ISMA	Linear	1	10/24/2032	04/24/2033									4.2														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/20/2032	10/25/2032	USD	6.75	30/360 ISMA	Linear	1	04/24/2032	10/24/2032									7														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/21/2032	04/26/2032	USD	6.75	30/360 ISMA	Linear	1	10/24/2031	04/24/2032									4.2														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/21/2031	10/24/2031	USD	6.75	30/360 ISMA	Linear	1	04/24/2031	10/24/2031									7.4														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/21/2031	04/24/2031	USD	6.75	30/360 ISMA	Linear	1	10/24/2030	04/24/2031									4.2														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/21/2030	10/24/2030	USD	6.75	30/360 ISMA	Linear	1	04/24/2030	10/24/2030									6.3														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/18/2030	04/24/2030	USD	6.75	30/360 ISMA	Linear	1	10/24/2029	04/24/2030									4.6														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/19/2029	10/24/2029	USD	6.75	30/360 ISMA	Linear	1	04/24/2029	10/24/2029									7														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/19/2029	04/24/2029	USD	6.75	30/360 ISMA	Linear	1	10/24/2028	04/24/2029									7.31														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/19/2028	10/24/2028	USD	6.75	30/360 ISMA	Linear	1	04/24/2028	10/24/2028									3.82														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/19/2028	04/24/2028	USD	6.75	30/360 ISMA	Linear	1	10/24/2027	04/24/2028									2.15														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/20/2027	10/25/2027	USD	6.75	30/360 ISMA	Linear	1	04/24/2027	10/24/2027									0.08														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/21/2027	04/26/2027	USD	6.75	30/360 ISMA	Linear	1	10/24/2026	04/24/2027									0.72														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/21/2026	10/26/2026	USD	6.75	30/360 ISMA	Linear	1	04/24/2026	10/24/2026									1.27														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/21/2026	04/24/2026	USD	6.75	30/360 ISMA	Linear	1	10/24/2025	04/24/2026									3.5														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/21/2025	10/24/2025	USD	6.75	30/360 ISMA	Linear	1	04/24/2025	10/24/2025									4.7														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/21/2025	04/24/2025	USD	6.75	30/360 ISMA	Linear	1	10/24/2024	04/24/2025									6.05														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/21/2024	10/24/2024	USD	6.75	30/360 ISMA	Linear	1	04/24/2024	10/24/2024									3.8														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/19/2024	04/24/2024	USD	6.75	30/360 ISMA	Linear	1	10/24/2023	04/24/2024									2.78														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/19/2023	10/24/2023	USD	6.75	30/360 ISMA	Linear	1	04/24/2023	10/24/2023																							
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/19/2023	04/24/2023	USD	6.75	30/360 ISMA	Linear	1	10/24/2022	04/24/2023																							
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/19/2022	10/24/2022	USD	6.75	30/360 ISMA	Linear	1	04/24/2022	10/24/2022									1.19														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	04/20/2022	04/25/2022	USD	6.75	30/360 ISMA	Linear	1	10/24/2021	04/24/2022									1.6														
Global Bonds	STAREN 6.75% 04/24/33	STAR ENERGY GEOTHERMAL WAYANG WINDU LTD	USD	1	100	USG84393AC49		04/24/2033					BB	10/20/2021	10/25/2021	USD	6.75	30/360 ISMA	Linear	1	04/24/2021	10/24/2021									4.8														
